number,group,fake_dis_pre,fake_shar_pre,real_dis_pre,real_shar_pre,fake_dis_post,fake_shar_post,real_dis_post,real_shar_post,fake_dis_follow,fake_shar_folow,real_dis_follow,real_shar_folow,gender,age,Region,RCT,media literacy
131,3,1.4,1.6,2.4,2,2.6,4,3,2.6,2.2,1.6,3.6,4.2,2,20,1,0.6666667,3.5
132,3,2.2,2.2,3.6,3.4,3.6,3.6,3.8,3.4,2,3,2.4,3,2,25,1,0.6666667,3.5
133,3,1.6,1,3.2,1,2,1.8,3,2,1.2,1.2,3.8,2.4,2,21,4,0.8333333,4
134,3,2.8,4,4.4,3.6,2.4,3.6,3.6,3.6,3,3.6,3.6,3.4,2,20,3,0.5,3.25
135,3,2.4,3.6,3.8,3,2.4,3.6,3.6,3.8,2.6,3.4,4,3.8,1,20,1,0.6666667,3.5
136,3,1.2,1.8,2.4,2.4,2.4,2.8,2.6,1.8,2,2.6,2.6,2.6,1,20,3,0.8333333,3.5
137,3,2.4,3.4,3.2,3.4,1.8,2.6,2.4,2.2,1.8,3,3.2,3.2,2,21,1,0.6666667,4.5
138,3,2.2,2,2.4,1.8,2.8,3,3.2,3,1.4,2,4,3.6,2,20,3,0.3333333,3.75
139,3,1.2,1.2,3,2.2,2.2,2.2,2.4,2,1.2,1.6,2.6,1.8,1,20,2,0.6666667,4
140,3,2,2.2,3.4,3,2.8,3.4,2.6,2.8,0.4,1,2.2,1.2,1,21,1,0.1666667,2.25
141,3,2.2,3.2,3.4,4,2.4,4.8,3.4,3.8,2.4,3.8,4,4.4,2,20,3,0.5,3.5
142,3,2,2.6,3,2.6,1.6,2.2,3.2,2.4,1.8,2.6,2,2,1,22,1,0.6666667,4.25
143,3,3.2,4,5,4.6,2.2,3.6,4,4.2,2.8,3.8,3.4,3.8,1,21,4,1,3.75
144,3,2.2,3.4,3.6,3.2,1.8,2,3.4,2.6,2.6,3.8,2.4,3,1,20,3,0.8333333,4
145,3,2.6,4.8,3.8,4,2.4,4.4,3.6,4.2,3.2,4.4,4.2,4.4,1,25,2,0.6666667,3.5
146,3,1.2,1.4,3.6,2,2.8,3,3.6,2.4,2,2.8,3.4,2.4,1,24,2,0.8333333,4.75
147,3,3.6,4.2,4.6,4.2,3.6,5,4.8,4.8,4,4.4,5,4,1,23,1,0.8333333,3.75
148,3,2.6,2.8,3.8,3.6,1.2,1.4,3.2,2.2,2.6,3.8,3.4,3.4,1,21,2,0.6666667,3.25
149,3,2.6,2.8,4,3.4,3.6,3.8,4,2.2,3,2.8,4.4,3.2,1,22,1,0.5,4.75
150,3,1.8,1.8,3.4,3.2,1.4,2.2,2.8,2.2,1.8,2.2,3.2,3,2,20,4,0.6666667,3.25
151,3,3,4.2,2.6,2.6,2.4,3.2,2.6,2.6,2,3,3.8,3.8,2,21,4,0.6666667,3.75
152,3,1.8,1.8,2.8,1.8,1.2,2.6,2.8,2.4,1.4,2.4,2.8,2.8,2,20,3,0.5,5
153,3,2.6,1.6,3.6,1.2,2.2,1.2,3.6,2,1.4,1.6,3.4,1,2,19,3,0.8333333,2.25
154,3,2.2,3.2,3.4,3.6,2.2,3.6,3.6,4.2,2,3.4,3.6,3.8,1,21,3,0.1666667,3.5
155,3,1.8,1.2,3.2,1.8,2,2.2,4.4,2.4,2.8,3.2,4,1.8,2,26,4,0.8333333,3.25
156,3,1.4,1,3,1,1.8,1.8,3.2,1.6,2.6,3.2,3.4,2.8,2,19,3,0,3.75
157,3,1.4,1.8,2.6,2.6,1.6,2,3,2.4,1.6,2.2,2.6,2.6,1,29,1,0.6666667,3.5
158,3,1.4,2.2,2.2,1.8,1.6,1.8,3.4,3.2,1,2,2.8,2.8,1,19,3,0.3333333,3.75
159,3,3.4,4.8,4.2,5,0.6,1.6,2.8,2,2.2,3.6,4,5,2,22,3,0.3333333,5
160,3,1.6,2.6,3.2,3,1.6,2,3.6,3.2,2.2,2.4,3,2.2,2,19,2,0.1666667,3.5
161,3,2.4,3.8,3.2,3.8,1.8,2.4,3.6,2.6,1.8,2.4,3.2,2.2,1,23,2,0.5,4
162,3,2,2.4,3.2,1.4,1.6,1.6,3.2,2,2,2,3.2,2.4,2,20,2,0,3.5
163,3,1.6,4,3.6,3.8,2.4,2.6,4.2,3.6,2.4,2.6,2.8,2.4,2,19,4,0.3333333,4.25
164,3,1.6,2.2,3.6,2.6,1.4,2,3.2,2.8,2.8,3.2,3.4,3,2,23,2,0.5,3.75
165,3,1.6,2.6,2.6,2.4,1.6,1.8,3.6,3.2,1.8,2.4,2.4,2.2,2,24,2,0.3333333,4.5
166,3,1.2,2.4,2.6,2.4,1.8,1.8,4,2.8,2.2,3,2.8,2,1,21,1,0.5,4.5
167,3,2.2,2.6,3.8,3,1.4,1.4,3.4,3.4,1.4,1.6,2.6,1.6,2,20,3,0.5,4.5
168,3,2.2,3,3.2,3.6,2,2.6,3.4,3.2,2.2,3.2,3.2,3.6,1,22,3,0.3333333,5
169,3,1,2.2,2.8,2.4,1.2,1.6,3.4,3.2,3.4,3.8,2.6,2,1,19,4,0.5,4
170,3,2.4,2.8,3,2.4,2.8,3.2,3,2.6,2.4,2.8,3.4,2.6,2,20,3,0.5,4.25
171,3,1,1,2.2,1.4,0.4,1,3,1.6,0.2,1,2,1,2,21,3,0.5,4.75
172,3,2.4,1.6,3.4,1,1.4,2.2,2.8,2.2,1.6,2.2,2,2.6,2,20,2,0.3333333,4
173,3,1,1,1.8,1,1.4,1.6,2.8,1.4,1.4,2.6,2.8,1,1,19,1,0.5,3.5
174,3,1.2,2.6,3.8,3.8,2,4.2,3.6,3.4,2,3.8,3.4,4.2,2,22,4,0.8333333,3.25
175,3,3,3.4,4.4,3.8,2.2,3.2,3.8,3.8,2,2.4,2.6,2.2,1,23,3,0.5,3.25
176,3,2.2,2.4,4,2.6,1.4,2.6,3.2,2,2,3.2,4,3.2,2,19,4,0.1666667,3.25
177,3,1,2,2.4,2.2,2.8,3.2,3.2,3.2,3,4,2.4,2.4,2,21,1,0.8333333,3.25
178,3,1.8,2.2,2.8,2.4,1.8,2,3.4,2.8,2.2,2.6,3,2.4,2,18,4,0.8333333,3.25
179,3,2.2,2.6,4.4,2.8,1.8,2.8,2.6,2.6,0.6,1.6,3.4,3.4,2,22,4,0,4.5
180,3,1.4,1.2,4,2.2,1.2,1.4,3.2,1.8,2.4,3.2,2.8,2.4,2,26,2,1,3.5
